lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	 ~1~ ha sido desarrollado por Jean Lalonde usando la plataforma`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraducción al Alemán: Edgar "Fast Edi" Hoffmann`nTraducción al Francés: Jean Lalonde`nTraducción al sueco:Åke Engelbrektson`nTraducción al italiano: Riccardo Leone`nTraducción al español: Kiketrucker (AccionglobalXSoft)`nTraducción al brasileño y portugues: Igor Ruckert`nTraducción al chino tradicional: Jess Yang`nOtras traducciones: (tu ayuda es bienvenida)`nComprobación de Inglés: (tu ayuda es bienvenida)`n`nIconos por: <a href="https://icons8.com/">Icons8</a>`nInstalador del programa: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nAutoHotkey_L v1.1 sources: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>  
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Soporte en línea: <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Acerca de - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Seleccionar favorito para copiar 
lAlternativeMenuTrayTipEditFavorite	Seleccionar favorito para editar 
lAlternativeMenuTrayTipNewWindow	Selecionar una carpeta para abrir en nueva ventana 
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Quick Start</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Preguntas frecuentes</a> • <a href="http://www.quickaccesspopup.com">Soporte</a> (Inglés) 
lContextAddFile	Añadir este archivo al menú de Quick Access Popup
lContextAddFileXpress	Añadir este archivo al menú de Quick Access Popup Express 
lContextAddFolder	Añadir esta carpeta al menú de Quick Access Popup 
lContextAddFolderXpress	Añadir esta carpeta al menú de Quick Access Popup Express 
lContextShowMenu	Mostrar el menú de Quick Access Popup 
lContextShowMenuAternative	Mostrar menú Alternativo de Quick Access Popup 
lCopyLocationCopiedToClipboard	Ruta o URL copiada en el portapapeles 
lDiagModeCaution	~1~ función en modo diagnóstico.`n`nLa información acerca de la ejecución de esta aplicación será recogida en el archivo:`n~2~`n`nNinguna información será transmitida sin su consentimiento.`n`nDesea continuar en modo diagnóstico?
lDiagModeExit	~1~ tiene información recopilada para fines de diagnóstico en el archivo ~2~.
lDiagModeIntro	Enviar este fichero a ahk@jeanlalonde.ca con una descripción de la situación que requiere un diagnóstico.
lDiagModeSee	Quiere consultar el fichero de diagnóstico?
lDialogActivateAlreadyRunning	Si la aplicación ya está en marcha, activarla en lugar de lanzar`n(aplicación debe estar exactamente en el mismo lugar) 
lDialogAdd	Añadir
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Añadir Favorito - ~1~ ~2~
