lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ is ontwikkeld door Jean Lalonde gebruikmakend van de <a href="http://ahkscript.org/">ahk script</a> programmeertaal.`n`nVertalingen: `nBraziliaans Portugees: Igor Ruckert`nChinees (Manderijn en Traditioneel): Jess Yang`nDuits: Edgar "Fast Edi" Hoffmann`nFrans: Jean Lalonde`nItaliaans: Riccardo Leone`nPortugees: Luis Neves`nNederlands: Ric Roggeveen`nSpaans: kiketrucker`nZweeds: Åke Engelbrektson`nVoor overige talen: <a href="http://www.quickaccesspopup.com/quick-access-popup-translation/">Meld je aan als vertaler!</a>`n`nEngelse grammatica: <a href="http://www.quickaccesspopup.com/quick-access-popup-translation/">(hulp is welkom)</a>`n`nPictogrammen van: <a href="https://icons8.com/">Icons8</a>`nInstallatieprogramma van: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> van jrsoftware.org`nAutoHotkey_L v1.1 bronnen: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nQuick Access Popup bevat componenten welke onder de Apache Licentie, versie 2.0 vallen. Het gebruik van dit bestand is alleen toegestaan in naleving van de licentie. Tenzij de toepasselijke wetgeving dit vereist of de partijen dit vooraf schriftelijk zijn overeengekomen, wordt de software op een "AS IS" -basis ZONDER WAARBORG OF VOORWAARDEN van welke aard dan ook hetzij uitdrukkelijk of impliciet onder de licentie uitgegeven. Refereer naar de licentie voor de specifieke bevoegdheden en/of beperkingen die de licentie heeft.`nEen kopie (site is in het Engels) van de licentie is te verkrijgen op: <a href="http://www.apache.org/licenses/LICENSE-2.0">http://www.apache.org/licenses/LICENSE-2.0</a>
lAboutText4	Meer informatie is te vinden op: <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Over ~1~ ~2~
lAboutUserComputerName	Gebruikersnaam: ~1~`nComputer: ~2~
lAlternativeMenuTrayTipCopyLocation	Selecteer een favoriet om te kopiëren
lAlternativeMenuTrayTipEditFavorite	Selecteer een favoriet om te bewerken
lAlternativeMenuTrayTipNewWindow	Selecteer een map om te openen in een nieuw venster
lAlternativeMenuTrayTipOpenContaining	Selecteer een favoriet van het document, applicatie of map waarvan de bron geopend dient te worden
lAlternativeMenuTrayTipRunAs	Selecteer de applicatie om te starten als administrator
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Snel Starten</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Veel gestelde vragen</a> • <a href="http://www.quickaccesspopup.com">Ondersteuning</a>
lContextAddFile	Bestand toevoegen aan het Quick Access Popup menu
lContextAddFileXpress	Bestand toevoegen aan het Quick Access Popup Express menu 
lContextAddFolder	Map toevoegen aan het Quick Access Popup menu
lContextAddFolderXpress	Map toevoegen aan het Quick Access Popup Express menu 
lContextAddShortcut	Importeer de Windows-snelkoppeling naar het Quick Access Popup menu
lContextShowMenu	Quick Access Popup menu weergeven
lContextShowMenuAternative	Alternatief QAP-menu weergeven
lControlToolTipAlwaysOnTopOff	Dit venster altijd op de voorgrond weergeven
lControlToolTipAlwaysOnTopOn	Stop met het weergeven van dit venster op de voorgrond
lControlToolTipMoveDown	Verplaats de geselecteerde favoriet(en) naar beneden
lControlToolTipMoveUp	Verplaats de geselecteerde favoriet(en) naar boven
lControlToolTipParentMenu	Ga naar het hoofdmenu
lControlToolTipPreviousMenu	Ga terug naar het vorige menu
lControlToolTipSeparator	Voeg een separator toe op de huidige positie
lCopyLocationCopiedToClipboard	Pad of Website is gekopieërd naar het klembord
lDiagModeCaution	~1~ wordt momenteel uitgevoerd in diagnose-modus.`n`nInformatie over de applicatie-uitvoering zal worden verzameld in het bestand:`n~2~`n`nNiets zal worden verzonden zonder uw goedkeuring.`n`nWilt u de diagnose-modus actief laten?
lDiagModeExit	~1~ heeft informatie voor foutdiagnose verzameld in het bestand ~2~.
lDiagModeIntro	verstuur dit bestand naar ahk@jeanlalonde.ca met een beschrijving van de situatie welke onderzocht dient te worden.
lDiagModeSee	Wilt u het diagnostische log-bestand inzien?
lDialogActivateAlreadyRunning	Als de applicatie al uitgevoerd wordt dient deze geopend te worden in plaats van de applicatie wederom op te starten`n(applicatie dient zich op exact dezelfde locatie te bevinden)
lDialogAdd	Toevoegen
lDialogAddAmpersand	&Toevoegen
lDialogAddEditFavoriteTitle	~1~ Favoriet: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Favoriet toevoegen - ~1~ ~2~
lDialogAddFavoriteTabs	Basis Opties|Menu Opties|Venster Opties|Geavanceerde Opties
lDialogAddFavoriteTabsExternal	Openbaar menu
lDialogAddFavoriteTabsLive	Opties voor de huidige map
lDialogAddFileSelect	Selecteer het nieuwe document:
lDialogAddFolderManuallyPrompt	Sorry, we kunnen de huidige map niet opvragen in dit venstertype.`n`nWilt u de map handmatig toevoegen?
lDialogAddFolderManuallyTitle	Voeg deze map toe - ~1~ ~2~
lDialogAddFolderSelect	Selecteer of maak een nieuwe map:
lDialogAlt	Alt
lDialogApplicationLabel	Applicatie
lDialogAppWorkingDirCurrent	Start de applicatie op de locatie waar deze favoriet is gestart
lDialogArgumentsLabel	Parameters
lDialogArgumentsLabelHelp	(Bij het gebruik van meerdere parameters dient elke parameter van dubbele aanhalingstekens voorzien te zijn)
lDialogArgumentsPlaceholders	Het is mogelijk om de locatie van deze favoriet of een deel daarvan toe te voegen door de volgende structuur te gebruiken: {LOC} (volledige locatie), {NAAM} (bestandsnaam), {MAP} (map), {EXT} (extentie), {GEENEXT} (bestandsnaam zonder extentie) of {STATION} (station)
lDialogArgumentsPlaceholdersCheckLabel	Huidige parameters met dubbele aanhalingstekens
lDialogArgumentsPlaceholdersCurrent	Ook kunnen accolades gebruikt worden voor de huidige map waar de favoriet is gestart: {HUIDIGE_LOC} (volledige map), {HUIDIGE_NAAM} (laatste map), {HUIDIGE_MAP} (map met laatste map) of {HUIDIG_STATION}
lDialogArgumentsPlaceholdersCurrentExample	x:\Hoofdmap\Submap
lDialogBrowseButton	Bladeren...
lDialogBrowseOrSelectApplication	Blader naar een uitvoerbaar bestand of selecteer een uitvoerbaar bestand in deze lijst
lDialogCancelButton	Annuleren
lDialogCancelPrompt	Wijzigingen ongedaan maken?
lDialogCancelTitle	Annuleren - ~1~ ~2~
lDialogChangeHotkeyAlternative	Dit is een alternatieve menusneltoets.`n`nWilt u deze aanpassen van "~1~" in "~2~"?
lDialogChangeHotkeyAny	Beide toetsen
lDialogChangeHotkeyLeftAnyRight	Van elke functietoets kan bepaald worden welke actief is in combinatie met een sneltoets, dit kan alleen de linker of rechter zijn, of beide, selecteer hieronder uw voorkeur.
lDialogChangeHotkeyModifierAndNone	Functietoetsen zoals "Alt" of "Control" kunnen niet zonder sneltoets geselecteerd worden. Selecteer ook een muis of snel -toets in de rechter sectie.
lDialogChangeHotkeyMouseCheckLButton	Het is niet mogelijk om de "Linker Muistoets" te selecteren zonder een functietoets:`n(zoals: ~1~, ~2~, ~3~ of ~4~).
lDialogChangeHotkeyNote	nb: Alle favorieten met de naam: "~2~" met als locatie: "~1~" zullen gelinkt worden aan de nieuwe sneltoets.
lDialogChangeHotkeyNoteSnippet	nb: Alle fragmenten genaamd "~1~" met dezelfde inhoud zal worden gelinkt aan de nieuwe sneltoets.
lDialogChangeHotkeyPopup	Dit is een popupmenu sneltoets.`n`nWilt u deze aanpassen van "~1~" in "~2~"?
lDialogChangeHotkeyTitle	Wijzig sneltoets - ~1~ ~2~
lDialogContinue	Volgende
lDialogContinueAmpersand	&Volgende
lDialogCopy	Kopiëren
lDialogCopyAmpersand	&Kopiëren
lDialogCtrl	Control
lDialogCtrlShort	Ctrl
lDialogEdit	Bewerken
lDialogEditIcon	Wijzig pictogrambronlocatie
lDialogEditIconPrompt	Wijzig pictogrambronlocatie in het formaat "pictomgrambestand,index" (als voorbeeld, "shell32.dll,2"):
lDialogElevate	Applicatie als administrator uitvoeren
lDialogEndOfMenu	Einde van het menu
lDialogErrorMoving	Het is niet mogelijk om de favoriet te herschalen:`n"~1~"
lDialogExternalAddFromCatalogue	Wilt u een extern menu toevoegen vanuit de openbare menucatalogus?
lDialogExternalLocation	Bestandslocatie voor openbare menuinstellingen
lDialogExternalLocationIni	Het openbare menuinstellingenbestand dient een .ini-bestand te zijn
lDialogExternalMenuAdd	De geselecteerde openbare menu('s) toevoegen
lDialogExternalMenuAddFromCatalogue	Openbaar menu toevoegen vanuit de catalogus - ~1~ ~2~
lDialogExternalMenuAddHeader	Naam voor openbaar menu|Instellingenbestand voor openbaar menu
lDialogExternalMenuAddNotFromCatalogue	Een volgend openbaar menu toevoegen...
lDialogExternalMenuName	Naam voor het openbare menu
lDialogExternalMenuOpen	Openbaar menubestand openen?
lDialogExternalMenusAdded	~1~ openba(a)r(e) menu('s) toegevoegd.
lDialogExternalMenuSelectFromCatalogue	Selecteer 1 of meer openbare menu's om deze toe te voegen aan het menu and klik op ~1~
lDialogExternalStartingNumber	Nummer van het eerste favoriet:
lDialogExternalTip	Dubbelklik op een regel om menuinformatie te bekijken.
lDialogExternalTypes	Persoonlijk (menu gedeeld op verschillende computers voor dezelfde gebruiker)|In teamverband (menu staat op een netwerklocatie voor een team of werkgroep)|Gecentraliseerd (menu staat op een netwerklocatie en wordt beheerd door een menuadministrator
lDialogExternalTypesLabel	Type van het openbaar menu
lDialogExternalWriteAccessMessage	Bericht voor schrijfrechten openbaar menu
lDialogExternalWriteAccessUsers	Gebruikers met schrijfrechten tot dit openbare menu
lDialogFavoriteDisabled	Deze favoriet verbergen in het menu
lDialogFavoriteDisabledGroupMember	Schakel dit item uit in de groep
lDialogFavoriteDoesNotExistEdit	Wilt u deze favoriet wijzigen?
lDialogFavoriteDoesNotExistPrompt	De favoriet "~1~" ~2~ bestaat niet of is niet beschikbaar.`n`nIndien deze favoriet zich op een netwerklocatie bevindt, controleer dan of u voldoende rechten en verbinding heeft met de netwerklocatie.
lDialogFavoriteDoesNotExistTitle	Favoriet bestaat niet - ~1~
lDialogFavoriteDropdownEmpty	Selecteer een item in de ~1~ dropdown lijst alstublieft.
lDialogFavoriteExternalHelpWeb	Voor meer informatie navigeer naar <a href="~1~">Hulp voor Openbare Menu's</a>
lDialogFavoriteExternalSaveNote	nb: Waardes in deze tab worden opgeslagen zodra "~1~" ingedrukt wordt.
lDialogFavoriteFolderLive	Live map (menu inclusief submappen)
lDialogFavoriteFolderLiveColumns	Aantal items per kolom (0 voor uitschakelen)
lDialogFavoriteFolderLiveDocuments	Documenten insluiten
lDialogFavoriteFolderLiveExclude	Uitsluiten
lDialogFavoriteFolderLiveExtensions	deze extenties (meerdere extenties kunnen worden toegevoegd door middel van spaties tussen de extenties, als voorbeeld "bak bk")
lDialogFavoriteFolderLiveInclude	Bijvoegen
lDialogFavoriteFolderLiveLevels	Aantal submapniveau's om in te voegen in Live mapmenu
lDialogFavoriteLocationEmpty	Deze locatie is leeg, selecteer een locatie alsublieft.
lDialogFavoriteMenuPosition	Voeg de nieuwe favoriet toe vóór het geselecteerde item
lDialogFavoriteNameEmpty	Er is geen naam geselecteerd voor de favoriet, voer een naam in alstublieft.
lDialogFavoriteNameNoSeparator	Gereserveerd karakter "~1~" kan niet worden gebruikt in een itemnaam.
lDialogFavoriteNameNotAllowed	Favorieten van het type "~1~" zijn niet toegestaan in een groep, selecteer een ander hoofdmenu in de "Menu Opties" tab.
lDialogFavoriteNameNotNew	De naam "~1~" is al in gebruik, selecteer een unieke naam alstublieft.
lDialogFavoriteNameNotNewQAPfeature	De naam "~1~" is al in gebruik, hernoem de bestaande favoriet en probeer het opnieuw.
lDialogFavoriteParentMenu	Favoriete hoofdmenu
lDialogFavoriteRemoveExternalPrompt	Verwijder het openbare submenu "~1~" (het externe instellingenbestand (.ini) zal niet worden verwijderd)?
lDialogFavoriteRemoveGroupPrompt	Verwijder de groep "~1~" (items in de groep zullen ook verwijderd worden)?
lDialogFavoriteRemovePrompt	Wilt u het submenu "~1~" inclusief ALLE inhoud (mappen en submenu's) verwijderen?
lDialogFavoriteRemoveTitle	Verwijder favoriet - ~1~
