lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	O ~1~ é escrito por Jean Lalonde usando a linguagem de programação`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTradução para o Alemão: Edgar "Fast Edi" Hoffmann`nTradução para o Francês: Jean Lalonde`nTradução para o Holandês: Pieter Dejonghe`nTradução para o Sueco:Åke Engelbrektson`nTradução para o Italiano: Riccardo Leone`nTradução para o Espanhol: kiketrucker`nTradução para Português (Brasil): Igor Rückert`nTradução para Chinês Tradicional e Simplificado: Jess Yang`nTradução para Português: Luis Neves`nOutras traduções de idioma: (ajuda sempre bem-vinda)`nVerificação do inglês: (ajuda sempre bem-vinda)`n`nÍcones por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nPrograma de instalação: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nFontes AutoHotkey_L v1.1: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Sobre - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Selecione o favorito para copiar
lAlternativeMenuTrayTipEditFavorite	Selecione o favorito para editar
lAlternativeMenuTrayTipNewWindow	Selecione a pasta para abrir em uma nova janela
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Início Rápido</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Perguntas Frequentes</a> • <a href="http://www.quickaccesspopup.com">Suporte</a> (Inglês)
lContextAddFile	Adicionar Arquivo ao menu do Quick Access Popup
lContextAddFileXpress	Adicionar Arquivo ao menu Expresso do Quick Access Popup
lContextAddFolder	Adicionar Pasta ao menu do Quick Access Popup
lContextAddFolderXpress	Adicionar Pasta ao menu Expresso do Quick Access Popup
lContextShowMenu	Exibir menu do Quick Access Popup
lContextShowMenuAternative	Exibir menu Alternativo do Quick Access Popup
lCopyLocationCopiedToClipboard	Caminho ou URL copiada para a Área de Transferência
lDiagModeCaution	O ~1~ está sendo executado no modo de diagnóstico.`n`nSerão coletadas informações sobre a execução do aplicativo para o arquivo:`n~2~`n`nNada será enviado sem o seu consentimento.`n`nDeseja manter o modo de diagnóstico ATIVADO?
lDiagModeExit	O ~1~ coletou informações de diagnóstico para o arquivo ~2~.
lDiagModeIntro	Envie este arquivo para ahk@jeanlalonde.ca com uma descrição da situação que exige diagnóstico.
lDiagModeSee	Deseja ver o arquivo de diagnóstico?
lDialogActivateAlreadyRunning	Se o aplicativo já está em execução, ative-o em vez de iniciá-lo`n(o aplicativo deve estar exatamente no mesmo local)
lDialogAdd	Adicionar
lDialogAddAmpersand	&Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Favorito - ~1~ ~2~
lDialogAddFavoriteTabs	Configurações Básicas|Opções do Menu|Opções da Janela|Configurações Avançadas
lDialogAddFavoriteTabsLive	Opções da Pasta Ativa
lDialogAddFileSelect	Escolha o novo documento:
lDialogAddFolderManuallyPrompt	Desculpe, não detectamos a pasta atual neste tipo de janela.`n`nDeseja adicionar uma pasta favorita manualmenet agora?
lDialogAddFolderManuallyTitle	Adicionar esta Pasta - ~1~ ~2~
lDialogAddFolderSelect	Escolha ou crie a nova pasta:
lDialogAlt	Alt
lDialogApplicationLabel	Aplicativo
lDialogAppWorkingDirCurrent	Iniciar aplicativo no local da pasta onde seu favorito foi iniciado
lDialogArgumentsLabel	Parâmetros
lDialogArgumentsLabelHelp	(coloque cada parâmetro entre aspas, se necessário)
lDialogArgumentsPlaceholders	Você pode inserir a localização deste favorito ou parte dele nos parâmetros  usando estes marcadores: {LOC} (localização completa), {NAME} (nome do arquivo), {DIR} (pasta), {EXT} (extensão), {NOEXT} (nome do arquivo sem extensão) or {DRIVE} (unidade)
lDialogArgumentsPlaceholdersCheckLabel	Parâmetros atuais com marcadores expandidos
lDialogArgumentsPlaceholdersCurrent	Você também pode inserir espaços reservados para o local da pasta atual onde seu favorito foi iniciado: {CUR_LOC} (pasta completa), {CUR_NAME} (última pasta), {CUR_DIR} (pasta contendo última pasta) ou {CUR_DRIVE}
lDialogArgumentsPlaceholdersCurrentExample	x:\pasta_contendo\última_pasta
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procure por um arquivo executável ou`nselecione um aplicativo em execução na lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alterações?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Esta é a tecla de atalho do menu Alternativo.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyNote	Nota: O local "~1~" será vinculado à nova tecla de atalho em todos os menus.
lDialogChangeHotkeyNoteSnippet	Nota: Este recorte será vinculado à nova tecla de atalho em todos os menus.
lDialogChangeHotkeyPopup	Esta é a tecla de atalho do menu popup.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar tecla de atalho - ~1~ ~2~
lDialogContinue	Continuar
lDialogContinueAmpersand	C&ontinuar
lDialogCopy	Copiar
lDialogCopyAmpersand	C&opiar
lDialogCtrl	Controle
lDialogCtrlShort	Ctrl
lDialogEdit	Editar
lDialogEditIcon	Editar ícone
lDialogEditIconPrompt	Edite o ícone no formato "arquivo de ícone,índice" (por exemplo: "shell32.dll,2")
lDialogElevate	Execute o aplicativo com privilégios de Administrador
lDialogEndOfMenu	final do menu
lDialogErrorMoving	Não foi possível redimensionar o favorito:`n"~1~"
lDialogExternalLocation	Local do arquivo de configurações do menu externo
lDialogExternalStartingNumber	Número do primeiro favorito
lDialogFavoriteDisabled	Ocultar este favorito do menu
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ não existe ou não está disponível.`n`nSe este favorito está em uma unidade de rede, tente novamente depois da autenticação de rede.
lDialogFavoriteDoesNotExistTitle	O favorito não existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor, escolha um item na lista do menu suspenso ~1~.
lDialogFavoriteExternalHelpWeb	Veja <a href="~1~">Ajuda para menus externos</a> para maiores informações.
lDialogFavoriteFolderLive	Pasta Ativa (menu incluindo subpastas)
lDialogFavoriteFolderLiveColumns	Número de itens por coluna (0 para sem quebra de coluna)
lDialogFavoriteFolderLiveDocuments	Incluir documentos
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensões (separe as extensões com espaços, por exemplo: "bak bk")
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	Número de níveis de subpastas para incluir no menu da Pasta Ativa
lDialogFavoriteLocationEmpty	O local está vazio. Por favor, escolha um local.
lDialogFavoriteMenuPosition	Inserir o novo favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito está vazio. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item não pode incluir o caractere reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" não são permitidos em grupos. Por favor, selecione outro menu pai na aba "Opções do Menu".
lDialogFavoriteNameNotNew	O nome "~1~" já está em uso neste menu. Por favor, escolha um novo nome.
lDialogFavoriteNameNotNewQAPfeature	O nome "~1~" já está em uso neste menu. Por favor, renomeie o favorito existente e tente novamente.
lDialogFavoriteParentMenu	Menu pai do favorito
lDialogFavoriteRemoveExternalPrompt	Remover o submenu externo "~1~"`n(arquivo ini de configurações externas NÃO será excluído)?
lDialogFavoriteRemoveGroupPrompt	Remover o grupo "~1~"`n(itens no grupo também serão excluídos)?
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO seu conteúdo (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Selecione o tipo de favorito para adicionar.`n`nNa próxima janela, você dará ao seu favorito:`n- um nome`n- um conteúdo (dependendo do tipo)`n- várias configurações (ícone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Nome curto para o menu
lDialogFavoriteSnippetEmpty	O conteúdo está vazio. Por favor, entre o conteúdo recortado.
lDialogFavoriteSnippetHelpNoProcess	Insira ``n para final da linha e ``t para tabulação.
lDialogFavoriteSnippetHelpProcess	Use Ctrl-Tab para inserir tabulações e Enter para inserir finais de linhas
lDialogFavoriteSnippetHelpWeb	Veja <a href="~1~">Ajuda para Recortes</a> para codificação de caracteres especiais e comandos.
lDialogFavoriteSnippetProcessEOLTab	Automaticamente codificar finais de linhas e tabulações
lDialogFavoriteSnippetPromptLabel	Perguntar antes de ~1~ o recorte
lDialogFavoriteSnippetPromptLabelLaunching	iniciar
lDialogFavoriteSnippetPromptLabelPasting	colar
lDialogFavoriteSnippetPromptNoPipe	O caractere de barra vertical (|) não é permitido no aviso de recorte.
lDialogFavoriteSnippetSendMode	Enviar recorte para aplicativo atual em:
lDialogFavoriteSnippetSendModeMacro	Modo macro
lDialogFavoriteSnippetSendModeText	Modo texto
lDialogFavoritesParentMenuMove	Mover favoritos do ~1~ para este menu
lDialogFavoriteType	Tipo do Favorito
lDialogFavoriteTypesHelp1	Crie um atalho para uma "Pasta" usada com frequência.`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nConfigurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
lDialogFavoriteTypesHelp13	Crie um "Recorte". Defina o título do recorte para o menu, seu conteúdo e várias opções de menu.`n`nNas opções avançadas, escolha "Modo texto" para colar recortes de texto como faria pela Área de Transferência ou escolha "Modo macro" para enviar recortes como faria ao pressionar teclas (incluindo teclas especiais, veja a Ajuda).
lDialogFavoriteTypesHelp14	Crie um "Menu compartilhado" para usar favoritos em vários sistemas a partir do mesmo arquivo de configurações em um local externo.`n`nDefina o nome do menu compartilhado para o menu, o local do arquivo de configurações externo e várias opções.`n`nMenus compartilhados podem ser editados como menus regulares, exceto se forem definidos como 'somente leitura' (veja ajuda). 
lDialogFavoriteTypesHelp2	Crie um atalho para uma "Documento".`n`nDefina o nome do menu do favorito, caminho e várias opções de menu.`n`nConfigurações avançadas permitem escolher um aplicativo específico para exibir o documento, adicionar parâmetros adicionais e definir a posição da janela.
lDialogFavoriteTypesHelp3	Crie um atalho para um "Aplicativo" (programa, arquivo de lote ou script).`n`nProcure o arquivo executável ou selecione um dos programas em execução. Defina várias opções de menu.`n`nConfigurações avançadas permitem selecionar uma pasta "Iniciar em", adicionar parâmetros e definir a posição da janela.
lDialogFavoriteTypesHelp4	Crie um atalho para uma das 50 "Pastas Especiais" predefinidas do Windows, como: Bibliotecas, Imagens, Lixeira, Downloads, etc.`n`nDefina várias opções do menu. Configurações avançadas permitem definir a posição da janela e opções do gerenciador de arquivos.
lDialogFavoriteTypesHelp5	Crie um "Link" para uma página da web.`n`nDefina o nome do menu, endereço da página web (URL) e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um navegador específico para abrir o link, adicionar parâmetros opcionais e definir a posição da janela.
lDialogFavoriteTypesHelp6	Crie um atalho para um "Site FTP".`n`nDefina o nome do menu, endereço do site FTP (URL), nomede login, senha e várias opções de menu.`n`nConfigurações avançadas permitem selecionar um programa FTP específico para acessar este site, adicionar parâmetros opcionais, definir a posição da janela e codificar o nome e senha de login.`n`nNota: a senha NÃO é criptografada quando enviada pela Internet.
lDialogFavoriteTypesHelp7	Insira em qualquer lugar do seu menu "Recursos do Quick Access Popup" como:`n`n- ~1~`n- ~2~`n- ~3~`n- ~4~`n- ~5~`n- etc.
lDialogFavoriteTypesHelp8	Reúna favoritos relacionados em um "Submenu".`n`nDê um nome para seu submenu e selecione as opções de menu.`n`nAdicione favoritos em seu submenu ou mova-os de outros submenus ou grupos usando o botão "Editar".
lDialogFavoriteTypesHelp9	Inicie um "Grupo" de favoritos, todos em um atalho!`n`nDê um nome para seu grupo e defina várias opções para seu grupo.`n`nAdicione favoritos em seu grupo ou mova-os de outros submenus ou grupos usando o botão "Editar".`n`nConfigurações avançadas permitem controlar a velocidade de restauração inserindo um atraso entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	&Pasta|&Documento|&Aplicativo|Pasta E&special|&Link|Site F&TP|Recurso &QAP|Sub&menu|&Grupo||||Recorte|Menu &Compartilhado
lDialogFavoriteTypesLocationLabels	Pasta (caminho)|Documento (caminho e nome do arquivo)|Aplicativo (caminho e nome do arquivo)||Link (URL)|Site FTP(URL)|||||||Conteúdo|Arquivo de configurações externo (caminho)|
lDialogFavoriteTypesShortNames	Pasta|Documento|Aplicativo|Especial|Link|FTP|QAP|Menu|Grupo|Separador|Quebra de Coluna|..|Recorte|Compartilhado
lDialogFileLabel	Documento
lDialogFolderLabel	Pasta
lDialogFoldersPlaceholders	Você pode inserir o marcador de posição {CUR_LOC} para inserir o local de onde este favorito é iniciado
lDialogGetWinInfo	Para identificar a janela da qual deseja obter título e classe, clique na janela de destino com a tecla de atalho do menu QAP [~1~].
lDialogGetWInInfo2Clippoard	Título da janela:`n"~1~"`n`nClasse:`n"~2~"`n`nCopiar informações para a Área de Transferência?
lDialogHotkeyInvisibleKeys	<a id="~1~">barra de espaço</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a> ou <a id="~4~">escape</a>
lDialogHotkeys	Teclas de Atalho
lDialogHotkeysManageAbout	Atalhos atualmente ativos em ~1~
lDialogHotkeysManageAlternative	Alternativo
lDialogHotkeysManageAlternativeMenu	Menu Alternativo
lDialogHotkeysManageIntro	Clique duplo na linha do favorito para alterar o atalho.
lDialogHotkeysManageListHeader	Menu|Nome do Favorito|Tipo|Tecla de Atalho|Local do Favorito
lDialogHotkeysManageListSeeAllFavorites	Ver todos os favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nomes abreviados de teclas de atalho
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageTitle	Gerenciar Teclas de Atalho - ~1~ ~2~
lDialogIcon	Ícone do Favorito
lDialogIconsManage	Ícones
lDialogIconsManageAbout	Selecione novos ícones para seus favoritos ou defina o ícone padrão para o tipo. Não esqueça de salvar as alterações na janela de Configurações.
lDialogIconsManageCurrent	Ícone atual
lDialogIconsManageDefault	Ícone padrão
lDialogIconsManageFavoriteName	Nome do favorito
lDialogIconsManageNext	&Próximo
lDialogIconsManageParentMenu	Menu principal do favorito
lDialogIconsManagePrevious	&Anterior
lDialogIconsManageSetDefaultIcon	Definir ícone padrão
lDialogIconsManageTitle	Gerenciar Ícones - ~1~ ~2~
lDialogInvalidHotkey	Com o layout de teclado atual do sistema, a tecla de atalho "~1~" não pode ser usada como disparador para o menu popup  (erro 'não é uma tecla válida').`n`nPor favor, abra as configurações do "~2~ pelo menu da Área de Notificação e clique em "Opções". Nesta caixa de diálogo, escolha outro atalho para "~3~".
lDialogInvalidHotkeyFavorite	Com o layout atual do seu teclado, a tecla de atalho "~1~" não pode ser usada como disparador para o local "~2~" (erro de nome inválido de tecla).`n`nPor favor, escolha outro atalho para o local "~2~".
lDialogKeyboard	Teclado
lDialogLaunchWith	Iniciar com este aplicativo
lDialogMaximized	Maximizado
lDialogMenuNotMoveUnderItself	O menu "~1~" não pode ser movido abaixo de si mesmo
lDialogMinimized	Minimizado
lDialogMouse	Mouse
lDialogMouseButtonsText	Botão Esquerdo do Mouse|Botão do Meio do Mouse|Botão Direito do Mouse|Botão Especial do Mouse 1|Botão Especial do Mouse 2|Roda para Cima|Roda para Baixo|Roda para Esquerda|Roda para Direita|
lDialogMouseCheckLButton	Você não pode atribuir o "Botão Esquerdo do Mouse" sem um modificador`n(como teclas ~1~, ~2~, ~3~ ou ~4~).
lDialogMoveFavoritesTitle	Mover Favoritos - ~1~ ~2~
lDialogNone	Nenhum
lDialogNormal	Normal
lDialogOff	Desligado
lDialogOK	OK
lDialogOKAmpersand	&OK
lDialogOn	Ligado
lDialogOpenThisMenu	Abrir este menu
lDialogOr	ou
lDialogReadOnly	Somente leitura
lDialogRemoveMultipleFavorites	Deseja realmente remover favoritos do ~1~ ou submenus?
lDialogSelectIcon	Selecione o ícone
lDialogSelectItemToAdd	Selecione o item para adicionar
lDialogSelectItemToEdit	Por favor, selecione o item para editar.
lDialogSelectItemToMove	Por favor, selecione o item para mover.
lDialogSelectItemToRemove	Por favor, selecione o item para remover.
lDialogSettingsInvalid	Arquivo de Configurações inválido.`n`nCertifique-se de que o arquivo de Configurações inclui as seções ~1~ e ~2~.`n`nArquivo: ~3~
lDialogSettingsNotSavedPrompt	A janela de configurações está aberta com alterações não salvas. Estas alterações devem ser salvas ou canceladas antes de executar a ação solicitada.`n`nVocê deseja:`n- "Salvar": salva suas alterações e prossegue com a ação solicitada`n- "Configurações": cancela a ação solicitada e retorna para a janela de Configurações`n- "Cancelar": somente cancela  a ação solicitada
lDialogSettingsNotSavedTitle	~1~ - Configurações não salvas
lDialogShift	Shift
lDialogShortcut	Atalho
lDialogState	Estado daJanela
lDialogSubmenuNameEmpty	O nome do submenu está vazio. Por favor, escolha um nome.
lDialogSubmenuParentMenu	Menu pai do submenu
lDialogSwitchSettings	Selecione o arquivo de Configurações para usar
lDialogSwitchSettingsCancel	Mudança de arquivo de configurações cancelada...`n`nArquiivo de configurações atual: ~1~
lDialogSwitchSettingsReady	Recarregar ~2~ com novo arquivo de Configurações:`n`n~1~
lDialogTabNext	Próximo
lDialogThirdPartyDetected	O ~1~ detectou que o ~2~ está instalado no sistema.`n`nDeseja habilitar a integração do ~2~?
lDialogTriggerFor	Disparador para:
lDialogUseDefaultWindowPosition	Usar posição padrão da janela
lDialogWin	Windows
lDialogWindowPosition	Posição da janela
lDialogWindowPositionDelay	Atraso
lDialogWindowPositionH	Altura
lDialogWindowPositionLeft	Esquerda
